index,depth,latitude,longitude,time,uo,utide,utotal,vo,vsdx,vsdy,vtide,vtotal
17673191,0.494025,50.75,-59.0,2025-05-22 05:00:00,-0.13378906,0.020507812,-0.11328125,-0.24902344,,,0.03125,-0.21777344
17673192,0.494025,50.75,-59.0,2025-05-22 06:00:00,-0.15039062,0.017578125,-0.1328125,-0.2529297,,,0.03125,-0.22167969
17673193,0.494025,50.75,-59.0,2025-05-22 07:00:00,-0.16503906,0.005859375,-0.15917969,-0.24804688,,,0.021484375,-0.22753906
17673194,0.494025,50.75,-59.0,2025-05-22 08:00:00,-0.17285156,-0.0068359375,-0.1796875,-0.23632812,,,0.0068359375,-0.22851562
17673195,0.494025,50.75,-59.0,2025-05-22 09:00:00,-0.17382812,-0.017578125,-0.19140625,-0.22167969,,,-0.0078125,-0.22851562
17673196,0.494025,50.75,-59.0,2025-05-22 10:00:00,-0.16796875,-0.03125,-0.19921875,-0.20605469,,,-0.024414062,-0.23144531
17673197,0.494025,50.75,-59.0,2025-05-22 11:00:00,-0.16113281,-0.04296875,-0.20507812,-0.19042969,,,-0.040039062,-0.22949219
17673198,0.494025,50.75,-59.0,2025-05-22 12:00:00,-0.15820312,-0.041992188,-0.20019531,-0.17089844,,,-0.041992188,-0.21289062
17673199,0.494025,50.75,-59.0,2025-05-22 13:00:00,-0.15625,-0.026367188,-0.18164062,-0.1484375,,,-0.029296875,-0.17675781
17673200,0.494025,50.75,-59.0,2025-05-22 14:00:00,-0.14941406,-0.005859375,-0.15527344,-0.12597656,,,-0.009765625,-0.13574219
17673201,0.494025,50.75,-59.0,2025-05-22 15:00:00,-0.13769531,0.01171875,-0.12695312,-0.109375,,,0.0087890625,-0.1015625
17673202,0.494025,50.75,-59.0,2025-05-22 16:00:00,-0.12207031,0.028320312,-0.09375,-0.09863281,,,0.02734375,-0.07128906
17673203,0.494025,50.75,-59.0,2025-05-22 17:00:00,-0.10253906,0.043945312,-0.057617188,-0.09277344,,,0.043945312,-0.048828125
17673204,0.494025,50.75,-59.0,2025-05-22 18:00:00,-0.07714844,0.049804688,-0.026367188,-0.095703125,,,0.049804688,-0.045898438
17673205,0.494025,50.75,-59.0,2025-05-22 19:00:00,-0.044921875,0.041992188,-0.0029296875,-0.109375,,,0.041992188,-0.06738281
17673206,0.494025,50.75,-59.0,2025-05-22 20:00:00,-0.01171875,0.02734375,0.015625,-0.13476562,,,0.025390625,-0.109375
17673207,0.494025,50.75,-59.0,2025-05-22 21:00:00,0.01171875,0.0126953125,0.024414062,-0.17089844,,,0.0078125,-0.16308594
17673208,0.494025,50.75,-59.0,2025-05-22 22:00:00,0.020507812,-0.0029296875,0.017578125,-0.21289062,,,-0.01171875,-0.22460938
17673209,0.494025,50.75,-59.0,2025-05-22 23:00:00,0.0107421875,-0.0234375,-0.01171875,-0.2529297,,,-0.033203125,-0.2861328
17673210,0.494025,50.75,-59.0,2025-05-23 00:00:00,-0.0146484375,-0.03515625,-0.049804688,-0.28125,,,-0.045898438,-0.32714844
17673211,0.494025,50.75,-59.0,2025-05-23 01:00:00,-0.049804688,-0.032226562,-0.08203125,-0.29589844,,,-0.041992188,-0.33789062
17673212,0.494025,50.75,-59.0,2025-05-23 02:00:00,-0.091796875,-0.018554688,-0.111328125,-0.2919922,,,-0.02734375,-0.31933594
17673213,0.494025,50.75,-59.0,2025-05-23 03:00:00,-0.13574219,-0.005859375,-0.14160156,-0.2705078,,,-0.009765625,-0.28027344
17673214,0.494025,50.75,-59.0,2025-05-23 04:00:00,-0.17480469,0.0068359375,-0.16796875,-0.2265625,,,0.0078125,-0.21777344
17673215,0.494025,50.75,-59.0,2025-05-23 05:00:00,-0.19042969,0.020507812,-0.16992188,-0.16601562,,,0.02734375,-0.13867188
17673216,0.494025,50.75,-59.0,2025-05-23 06:00:00,-0.18261719,0.030273438,-0.15234375,-0.11328125,,,0.040039062,-0.072265625
17673217,0.494025,50.75,-59.0,2025-05-23 07:00:00,-0.15234375,0.026367188,-0.125,-0.087890625,,,0.0390625,-0.048828125
17673218,0.494025,50.75,-59.0,2025-05-23 08:00:00,-0.11230469,0.0126953125,-0.099609375,-0.08203125,,,0.026367188,-0.055664062
17673219,0.494025,50.75,-59.0,2025-05-23 09:00:00,-0.07421875,-0.0009765625,-0.07519531,-0.08984375,,,0.0087890625,-0.08105469
17673220,0.494025,50.75,-59.0,2025-05-23 10:00:00,-0.044921875,-0.013671875,-0.05859375,-0.11035156,,,-0.0078125,-0.119140625
17673221,0.494025,50.75,-59.0,2025-05-23 11:00:00,-0.025390625,-0.029296875,-0.055664062,-0.13964844,,,-0.028320312,-0.16796875
17673222,0.494025,50.75,-59.0,2025-05-23 12:00:00,-0.01953125,-0.041992188,-0.061523438,-0.171875,,,-0.043945312,-0.21484375
17673223,0.494025,50.75,-59.0,2025-05-23 13:00:00,-0.026367188,-0.040039062,-0.06738281,-0.19628906,,,-0.044921875,-0.24023438
17673224,0.494025,50.75,-59.0,2025-05-23 14:00:00,-0.0390625,-0.024414062,-0.06347656,-0.20800781,,,-0.030273438,-0.23828125
17673225,0.494025,50.75,-59.0,2025-05-23 15:00:00,-0.052734375,-0.00390625,-0.055664062,-0.20996094,,,-0.009765625,-0.21972656
17673226,0.494025,50.75,-59.0,2025-05-23 16:00:00,-0.064453125,0.0146484375,-0.049804688,-0.20019531,,,0.01171875,-0.18847656
17673227,0.494025,50.75,-59.0,2025-05-23 17:00:00,-0.07324219,0.034179688,-0.0390625,-0.17871094,,,0.033203125,-0.14550781
17673228,0.494025,50.75,-59.0,2025-05-23 18:00:00,-0.07128906,0.049804688,-0.021484375,-0.15234375,,,0.05078125,-0.1015625
17673229,0.494025,50.75,-59.0,2025-05-23 19:00:00,-0.059570312,0.051757812,-0.0078125,-0.1328125,,,0.0546875,-0.078125
17673230,0.494025,50.75,-59.0,2025-05-23 20:00:00,-0.05078125,0.038085938,-0.0126953125,-0.12695312,,,0.041992188,-0.08496094
17673231,0.494025,50.75,-59.0,2025-05-23 21:00:00,-0.048828125,0.018554688,-0.030273438,-0.12792969,,,0.021484375,-0.10644531
17673232,0.494025,50.75,-59.0,2025-05-23 22:00:00,-0.044921875,0.0009765625,-0.043945312,-0.13183594,,,0.0,-0.13183594
17673233,0.494025,50.75,-59.0,2025-05-23 23:00:00,-0.043945312,-0.017578125,-0.0625,-0.13574219,,,-0.022460938,-0.15820312
17673234,0.494025,50.75,-59.0,2025-05-24 00:00:00,-0.05859375,-0.038085938,-0.095703125,-0.13574219,,,-0.043945312,-0.17871094
17673235,0.494025,50.75,-59.0,2025-05-24 01:00:00,-0.078125,-0.047851562,-0.12597656,-0.12792969,,,-0.0546875,-0.18261719
